ticker,date,sector,ret4W,ret8W,ret12W,maxDD,aoLag,macroFilter,clean
AAPL,2000-11-03,XLK,-20.99,-14.11,8.18,-26.23,26,bear,0
AAPL,2001-08-31,XLK,-6.60,7.47,23.26,-10.24,15,bear,1
AAPL,2001-10-12,XLK,3.66,11.42,15.03,0.00,9,bear,1
AAPL,2002-07-12,XLK,5.68,-5.28,-3.01,-6.22,44,bear,1
AAPL,2003-05-02,XLK,-6.28,4.54,13.28,-6.28,2,bull,1
AAPL,2005-04-08,XLK,-1.64,1.30,8.20,-1.64,23,bull,1
AAPL,2005-05-20,XLK,-6.90,8.48,12.99,-11.71,17,bull,1
AAPL,2006-06-23,XLK,14.53,20.05,27.47,-11.52,10,bear,1
AAPL,2008-02-15,XLK,11.56,34.81,57.06,0.00,11,bear,1
AAPL,2008-10-17,XLK,-14.32,-6.62,-14.58,-14.58,26,bear,1
AAPL,2011-07-01,XLK,3.87,3.99,6.01,-1.02,2,bull,1
AAPL,2012-11-23,XLK,-12.93,-24.84,-22.98,-24.84,38,bull,0
AAPL,2013-01-18,XLK,2.48,5.01,-11.22,-11.22,30,bull,1
AAPL,2013-02-15,XLK,2.46,-13.37,-3.89,-13.37,26,bull,1
AAPL,2013-07-19,XLK,13.61,5.99,15.40,0.00,4,bull,1
AAPL,2014-07-18,XLK,3.74,3.37,-0.00,-3.00,28,bull,1
AAPL,2015-09-04,XLK,-1.83,6.00,4.22,-3.35,33,bear,1
AAPL,2016-01-22,XLK,-0.44,8.56,8.57,-3.44,13,bear,1
AAPL,2016-05-27,XLK,-2.07,6.42,9.21,-4.62,11,bull,1
AAPL,2018-12-14,XLK,4.04,13.06,23.48,-1.64,17,bear,1
AAPL,2020-04-03,XLK,15.72,23.70,35.87,0.00,4,bear,1
AAPL,2020-10-09,XLK,0.20,2.85,10.95,-8.54,28,bull,1
AAPL,2021-06-11,XLK,12.21,14.29,14.19,0.00,1,bull,1
AAPL,2022-06-03,XLK,7.23,20.58,13.62,-4.06,11,bear,1
AAPL,2022-10-07,XLK,8.18,2.73,-6.33,-6.33,20,bear,1
AAPL,2023-01-20,XLK,0.53,9.81,13.08,0.00,5,bull,1
AAPL,2023-11-03,XLK,4.99,-2.80,-0.30,-2.80,3,bull,1
AAPL,2024-03-22,XLK,-1.27,10.79,21.00,-3.78,10,bull,1
AAPL,2025-04-17,XLK,-6.69,-3.96,0.91,-6.69,18,bear,1
ADI,2000-08-11,XLK,-2.32,-20.89,-52.79,-52.79,5,bull,0
ADI,2000-10-27,XLK,-15.94,-17.85,-12.13,-28.58,42,bear,0
