ticker,sector,tier,signalLevel,signalQuality,signalDate,weeksActive,ao,ac,acColor,hrHistorical,avgRetHistorical,maxDdHistorical,aoLagHistorical,nearLows,ranging,pricePercentile
BSX,XLV,2,S2D,degraded,2026-07-10,0,-26.4637,0.4651,green,,,,,true,false,1
ISRG,XLV,2,S2D,degraded,2026-07-10,0,-73.8922,4.2217,green,,,,,true,false,1
AZO,XLY,2,S2D,degraded,2026-07-10,0,-374.3405,13.0672,green,,,,,true,false,10
ZG,XLC,2,S2D,degraded,2026-07-10,0,-17.4274,0.3720,green,,,,,true,false,2
REGN,IBB,2,S2D,degraded,2026-07-10,0,-96.2864,3.0659,green,,,,,true,false,25
SRPT,XBI,2,S2D,degraded,2026-07-10,0,-2.1043,0.5366,green,,,,,true,false,5
ONC,IBB,2,S2D,degraded,2026-07-10,0,-31.4936,2.1425,green,,,,,false,false,68
ICE,XLF,2,S1,n/a,2026-07-10,0,-21.8361,-5.5385,green,,,,,true,false,19
CMCSA,XLC,2,S1,n/a,2026-07-10,0,-3.9728,-0.1401,green,,,,,true,false,10
SMMT,XBI,2,S1,n/a,2026-07-10,0,-2.5293,-0.4204,green,,,,,true,false,28
SR,XLU,2,S1,n/a,2026-07-10,0,-6.8994,-1.5561,green,,,,,false,false,64
FDX,XLI,2,S1,n/a,2026-07-10,0,-18.5455,-23.4282,green,,,,,false,false,70
TSN,XLP,2,S1,n/a,2026-07-10,0,-3.8572,-2.1119,green,,,,,false,false,44
WMT,XLP,2,S1,n/a,2026-07-10,0,-4.7909,-3.3256,green,,,,,false,false,71
KR,XLP,2,S1,n/a,2026-07-10,0,-6.1378,-2.1489,green,,,,,false,false,42
RRC,XLE,2,S1,n/a,2026-07-10,0,-1.8863,-1.4232,green,,,,,false,false,39
AR,XLE,2,S1,n/a,2026-07-10,0,-1.7662,-0.9690,green,,,,,false,false,39
CME,XLF,2,S1,n/a,2026-07-10,0,-37.9952,-14.0271,green,,,,,false,false,45
NEM,XLB,2,S1,n/a,2026-07-10,0,-9.3987,-4.9774,green,,,,,false,false,63
DOW,XLB,2,S1,n/a,2026-07-10,0,-0.8373,-3.0048,green,,,,,false,false,31
LYB,XLB,2,S1,n/a,2026-07-10,0,-1.1083,-5.8958,green,,,,,false,false,34
ALB,XLB,2,S1,n/a,2026-07-10,0,-16.5003,-16.3607,green,,,,,false,false,49
META,XLC,2,S1,n/a,2026-07-10,0,-41.2966,-3.4862,green,,,,,false,false,65
T,XLC,2,S1,n/a,2026-07-10,0,-3.3326,-0.9386,green,,,,,false,false,34
