ticker,sector,tier,signalLevel,signalQuality,signalDate,weeksActive,ao,ac,acColor,hrHistorical,avgRetHistorical,maxDdHistorical,aoLagHistorical,nearLows,ranging,pricePercentile
XYL,XLI,2,S2D,degraded,2026-06-18,0,-19.4280,0.0415,green,,,,,true,false,18
CAG,XLP,2,S2D,degraded,2026-06-18,0,-3.0073,0.0181,green,,,,,true,false,1
FMC,XLB,2,S2D,degraded,2026-06-18,0,-2.0843,0.1594,green,,,,,true,false,0
RARE,IBB,2,S2D,degraded,2026-06-18,0,-2.2273,0.0219,green,,,,,true,false,20
LMT,XLI,1,S2D,degraded,2026-06-18,0,-25.5403,1.6493,green,66.7,5.2,-3.8,10.5,false,false,40
FE,XLU,2,S2D,degraded,2026-06-18,0,-1.2048,0.2020,green,,,,,false,false,71
HD,XLY,2,S2D,degraded,2026-06-18,0,-31.9471,5.7749,green,,,,,false,false,33
DHI,XLY,2,S2D,degraded,2026-06-18,0,-1.4203,1.9743,green,,,,,false,false,55
DASH,XLC,2,S2D,degraded,2026-06-18,0,-29.8527,3.2519,green,,,,,false,false,41
IR,XLI,2,S1,n/a,2026-06-18,0,-9.2023,-0.8746,green,,,,,true,false,24
STZ,XLP,2,S1,n/a,2026-06-18,0,-3.8463,-2.4970,green,,,,,true,false,12
BSX,XLV,2,S1,n/a,2026-06-18,0,-26.6696,-0.3618,green,,,,,true,false,0
ZTS,XLV,2,S1,n/a,2026-06-18,0,-35.6028,-2.5960,green,,,,,true,false,4
ISRG,XLV,2,S1,n/a,2026-06-18,0,-78.6875,-10.9339,green,,,,,true,false,0
MTD,XLV,2,S1,n/a,2026-06-18,0,-185.1500,-1.6299,green,,,,,true,false,29
LOW,XLY,2,S1,n/a,2026-06-18,0,-28.2071,-4.2163,green,,,,,true,false,20
AZO,XLY,2,S1,n/a,2026-06-18,0,-384.9948,-107.9447,green,,,,,true,false,17
CMG,XLY,2,S1,n/a,2026-06-18,0,-3.0304,-0.0309,green,,,,,true,false,9
CMCSA,XLC,2,S1,n/a,2026-06-18,0,-3.6851,-0.6248,green,,,,,true,false,0
CHTR,XLC,2,S1,n/a,2026-06-18,0,-59.0536,-3.2233,green,,,,,true,false,0
ZG,XLC,2,S1,n/a,2026-06-18,0,-17.9095,-1.0804,green,,,,,true,false,1
REGN,IBB,2,S1,n/a,2026-06-18,0,-104.6256,-42.4904,green,,,,,true,false,17
INSM,IBB,2,S1,n/a,2026-06-18,0,-52.4129,-5.8423,green,,,,,true,false,22
SMMT,XBI,2,S1,n/a,2026-06-18,0,-1.9006,-1.2470,green,,,,,true,false,26
PCVX,XBI,2,S1,n/a,2026-06-18,0,-2.7247,-2.9710,green,,,,,true,false,25
VKTX,XBI,2,S1,n/a,2026-06-18,0,-3.2838,-0.4572,green,,,,,true,false,15
SRPT,XBI,2,S1,n/a,2026-06-18,0,-2.9823,-1.2242,green,,,,,true,false,4
NRG,XLU,2,S1,n/a,2026-06-18,0,-22.7199,-3.1554,green,,,,,false,false,61
SR,XLU,2,S1,n/a,2026-06-18,0,-4.3376,-2.8660,green,,,,,false,false,57
NOC,XLI,2,S1,n/a,2026-06-18,0,-75.5744,-5.9352,green,,,,,false,false,31
PH,XLI,2,S1,n/a,2026-06-18,0,-29.3564,-6.8666,green,,,,,false,false,87
HUBB,XLI,2,S1,n/a,2026-06-18,0,-0.4427,-11.1041,green,,,,,false,false,88
NEM,XLB,2,S1,n/a,2026-06-18,0,-1.6228,-5.0001,green,,,,,false,false,72
MLM,XLB,2,S1,n/a,2026-06-18,0,-46.4381,-3.0921,green,,,,,false,false,66
BALL,XLB,2,S1,n/a,2026-06-18,0,-1.0646,-1.7048,green,,,,,false,false,55
LVS,XLY,2,S1,n/a,2026-06-18,0,-7.1207,-0.7968,green,,,,,false,false,48
EXPE,XLY,2,S1,n/a,2026-06-18,0,-20.6233,-3.0862,green,,,,,false,false,70
META,XLC,2,S1,n/a,2026-06-18,0,-33.0298,-4.3065,green,,,,,false,false,36
CBRE,XLRE,2,S1,n/a,2026-06-18,0,-18.0169,-2.4479,green,,,,,false,false,53
BBIO,IBB,2,S1,n/a,2026-06-18,0,-3.9022,-1.8851,green,,,,,false,false,78
CTAS,XLI,2,none,n/a,,0,-9.5913,3.2457,green,,,,,true,true,9
OTIS,XLI,2,none,n/a,,0,-12.2683,-0.4272,green,,,,,true,true,9
CLX,XLP,2,none,n/a,,0,-10.2004,2.7612,green,,,,,true,false,12
GIS,XLP,2,none,n/a,,0,-7.5532,0.5076,green,,,,,true,true,1
K,XLP,2,none,n/a,,0,-6.1257,-6.5955,red,,,,,true,false,0
