ticker,sector,tier,signalLevel,signalQuality,signalDate,weeksActive,ao,ac,acColor,hrHistorical,avgRetHistorical,maxDdHistorical,aoLagHistorical,nearLows,ranging,pricePercentile
CMG,XLY,2,S2,pure,2026-06-26,0,-3.1036,0.0124,green,,,,,true,false,11
ZTS,XLV,2,S2D,degraded,2026-06-26,0,-33.7292,1.1070,green,,,,,true,false,2
VKTX,XBI,2,S2D,degraded,2026-06-26,0,-2.1455,0.6799,green,,,,,true,false,28
NRG,XLU,2,S2D,degraded,2026-06-26,0,-19.6578,1.1101,green,,,,,false,false,73
PH,XLI,2,S2D,degraded,2026-06-26,0,-12.5512,14.1382,green,,,,,false,false,90
IR,XLI,2,S2D,degraded,2026-06-26,0,-7.3243,1.4395,green,,,,,false,false,34
MTD,XLV,2,S2D,degraded,2026-06-26,0,-152.5924,30.9736,green,,,,,false,false,54
MLM,XLB,2,S2D,degraded,2026-06-26,0,-31.1519,12.1774,green,,,,,false,false,69
EXPE,XLY,2,S2D,degraded,2026-06-26,0,-14.1787,4.5915,green,,,,,false,false,82
CBRE,XLRE,2,S2D,degraded,2026-06-26,0,-16.6926,0.1234,green,,,,,false,false,59
XNCR,IBB,2,S2D,degraded,2026-06-26,0,-0.9136,0.4924,green,,,,,false,false,43
ACAD,XBI,2,S2D,degraded,2026-06-26,0,-1.5000,0.3433,green,,,,,false,false,83
STZ,XLP,2,S1,n/a,2026-06-26,0,-4.8994,-1.8440,green,,,,,true,false,17
ISRG,XLV,2,S1,n/a,2026-06-26,0,-80.7910,-7.3310,green,,,,,true,false,0
LOW,XLY,2,S1,n/a,2026-06-26,0,-26.7692,-0.5174,green,,,,,true,false,21
AZO,XLY,2,S1,n/a,2026-06-26,0,-429.7403,-96.1028,green,,,,,true,false,21
CMCSA,XLC,2,S1,n/a,2026-06-26,0,-3.9933,-0.5434,green,,,,,true,false,5
CHTR,XLC,2,S1,n/a,2026-06-26,0,-59.0011,-0.4493,green,,,,,true,false,2
ZG,XLC,2,S1,n/a,2026-06-26,0,-18.0266,-0.6729,green,,,,,true,false,0
REGN,IBB,2,S1,n/a,2026-06-26,0,-107.3274,-27.1535,green,,,,,true,false,21
INSM,IBB,2,S1,n/a,2026-06-26,0,-51.3478,-2.0272,green,,,,,true,false,27
SMMT,XBI,2,S1,n/a,2026-06-26,0,-2.2519,-0.9233,green,,,,,true,false,27
SRPT,XBI,2,S1,n/a,2026-06-26,0,-2.8433,-0.6278,green,,,,,true,false,4
SR,XLU,2,S1,n/a,2026-06-26,0,-5.7576,-2.8481,green,,,,,false,false,67
BALL,XLB,2,S1,n/a,2026-06-26,0,-0.5841,-0.4334,green,,,,,false,false,75
LVS,XLY,2,S1,n/a,2026-06-26,0,-7.3109,-0.5998,green,,,,,false,false,44
ONC,IBB,2,S1,n/a,2026-06-26,0,-37.7656,-10.5440,green,,,,,false,false,61
BBIO,IBB,2,S1,n/a,2026-06-26,0,-3.7408,-0.7622,green,,,,,false,false,85
PCVX,XBI,2,S1,n/a,2026-06-26,0,-2.2242,-1.1435,green,,,,,false,false,31
PG,XLP,1,none,n/a,,0,-0.3691,2.1637,green,65.4,3.1,-3.2,13.8,true,true,29
CTAS,XLI,2,none,n/a,,0,-9.5188,2.3511,red,,,,,true,true,11
NOC,XLI,2,none,n/a,,0,-81.6164,-7.0506,red,,,,,true,false,24
OTIS,XLI,2,none,n/a,,0,-11.3194,0.6777,green,,,,,true,true,9
XYL,XLI,2,none,n/a,,0,-17.1175,2.1327,green,,,,,true,false,29
CLX,XLP,2,none,n/a,,0,-9.5564,2.4787,red,,,,,true,false,14
GIS,XLP,2,none,n/a,,0,-6.9589,0.8131,green,,,,,true,true,8
K,XLP,2,none,n/a,,0,-6.1257,-6.5955,red,,,,,true,false,0
KHC,XLP,2,none,n/a,,0,-0.1327,0.0893,red,,,,,true,true,22
CAG,XLP,2,none,n/a,,0,-2.9220,0.1013,green,,,,,true,true,7
CPB,XLP,2,none,n/a,,0,-3.6159,1.0111,green,,,,,true,true,10
TAP,XLP,2,none,n/a,,0,-4.9643,-0.4534,green,,,,,true,true,12
CHK,XLE,2,none,n/a,,0,12.2899,10.5194,green,,,,,true,false,12
ICE,XLF,2,none,n/a,,0,-16.8062,-6.7298,red,,,,,true,false,0
SPGI,XLF,2,none,n/a,,0,-42.1249,2.3507,green,,,,,true,true,4
MDT,XLV,2,none,n/a,,0,-11.8965,1.8322,green,,,,,true,false,27
ABT,XLV,2,none,n/a,,0,-19.1724,3.6512,green,,,,,true,false,19
BSX,XLV,2,none,n/a,,0,-27.2338,-0.5354,red,,,,,true,false,0
DXCM,XLV,2,none,n/a,,0,6.2721,3.4386,red,,,,,true,false,26
COO,XLV,2,none,n/a,,0,-8.1542,2.7331,green,,,,,true,false,22
MOS,XLB,2,none,n/a,,0,-2.7705,0.3600,green,,,,,true,true,6
FMC,XLB,2,none,n/a,,0,-2.1536,0.0570,red,,,,,true,false,0
AVY,XLB,2,none,n/a,,0,-14.9833,0.6296,green,,,,,true,true,18
OLN,XLB,2,none,n/a,,0,0.2347,-1.6155,red,,,,,true,false,14
HUN,XLB,2,none,n/a,,0,1.9541,-0.6695,red,,,,,true,false,24
NKE,XLY,2,none,n/a,,0,-10.7715,1.6537,red,,,,,true,true,0
LEN,XLY,2,none,n/a,,0,-13.1054,3.7951,green,,,,,true,true,12
MSFT,XLK,2,none,n/a,,0,-27.5367,-4.4987,red,,,,,true,false,10
ORCL,XLK,2,none,n/a,,0,15.4160,5.1108,red,,,,,true,false,12
CRM,XLK,2,none,n/a,,0,-33.7589,-0.8302,red,,,,,true,false,3
NOW,XLK,2,none,n/a,,0,-144.3130,50.4075,red,,,,,true,false,11
META,XLC,2,none,n/a,,0,-38.2245,-6.1122,red,,,,,true,false,27
