ticker,sector,sectorName,totalSignals,hitRate8W,avgReturn4W,avgReturn8W,avgReturn12W,avgMaxDD,avgAoLag,cleanSignals,cleanHitRate,score,bestReturn8W,worstReturn8W
ETN,XLI,Industrials,6,0.5000,-0.0279,0.0027,-0.0029,-0.0604,5.8,5,0.6000,0.3054,0.1689,-0.1550
UPS,XLI,Industrials,9,0.4444,0.0069,0.0044,0.0004,-0.0321,11.6,9,0.4444,0.3036,0.0735,-0.0667
XOM,XLE,Energy,8,0.5000,-0.0009,-0.0056,0.0154,-0.0329,9.1,8,0.5000,0.2931,0.0990,-0.0836
K,XLP,Consumer Staples,7,0.4286,-0.0053,0.0005,0.0112,-0.0433,18.3,7,0.4286,0.2678,0.1363,-0.1051
MPC,XLE,Energy,2,0.5000,-0.0333,-0.0058,-0.0028,-0.1228,35.5,1,1.0000,0.2582,0.2176,-0.2292
CL,XLP,Consumer Staples,7,0.4286,0.0109,-0.0042,-0.0214,-0.0277,7.7,7,0.4286,0.2578,0.0562,-0.0561
GE,XLI,Industrials,4,0.5000,-0.0011,-0.0054,0.0201,-0.0905,25.0,3,0.6667,0.2565,0.2131,-0.2477
EXC,XLU,Utilities,7,0.4286,0.0191,-0.0038,-0.0218,-0.0419,15.6,7,0.4286,0.2494,0.0948,-0.0708
FDX,XLI,Industrials,7,0.4286,-0.0422,-0.0246,0.0151,-0.0861,10.3,5,0.6000,0.1557,0.1192,-0.2251
HAL,XLE,Energy,7,0.4286,0.0294,-0.0291,-0.0539,-0.1047,21.6,5,0.6000,0.1342,0.2517,-0.3039
DVN,XLE,Energy,6,0.5000,-0.0392,-0.0427,-0.0412,-0.1142,12.0,4,0.7500,0.1313,0.1427,-0.2584
MMM,XLI,Industrials,2,0.5000,-0.0222,-0.0570,-0.0742,-0.0922,28.5,1,1.0000,0.1262,0.0624,-0.1764
RTX,XLI,Industrials,5,0.4000,0.0099,-0.0290,-0.0790,-0.0546,16.2,5,0.4000,0.1158,0.0820,-0.1083
SLB,XLE,Energy,5,0.2000,0.0151,-0.0096,-0.0071,-0.0873,17.2,4,0.2500,0.0762,0.2170,-0.1454
EOG,XLE,Energy,6,0.3333,0.0250,-0.0368,-0.0451,-0.0779,19.7,4,0.5000,0.0671,0.1099,-0.1602
PM,XLP,Consumer Staples,5,0.4000,0.0129,-0.0474,-0.0403,-0.0788,13.8,4,0.5000,0.0530,0.0826,-0.2358
MDLZ,XLP,Consumer Staples,5,0.4000,0.0176,-0.0502,-0.0550,-0.0740,21.0,4,0.5000,0.0435,0.0488,-0.2280
FE,XLU,Utilities,6,0.3333,-0.0184,-0.0396,-0.0411,-0.0937,12.0,5,0.4000,0.0398,0.0603,-0.1851
CLX,XLP,Consumer Staples,9,0.3333,-0.0072,-0.0411,-0.0312,-0.0717,16.0,9,0.3333,0.0229,0.1032,-0.1174
BKR,XLE,Energy,2,0.5000,-0.0058,-0.0680,-0.0410,-0.0745,10.0,2,0.5000,0.0083,0.0072,-0.1431
KHC,XLP,Consumer Staples,3,0.3333,-0.0577,-0.0608,-0.1023,-0.1180,37.3,2,0.5000,-0.0128,0.0667,-0.1719
DUK,XLU,Utilities,5,0.2000,-0.0075,-0.0433,-0.0267,-0.0865,21.0,4,0.2500,-0.0439,0.1341,-0.1921
PCG,XLU,Utilities,3,0.3333,0.0103,-0.0873,-0.0189,-0.1202,15.3,2,0.5000,-0.0939,0.0711,-0.2405
BA,XLI,Industrials,3,0.0000,-0.0285,-0.0450,-0.0400,-0.1046,24.7,3,0.0000,-0.1712,-0.0151,-0.0952
OXY,XLE,Energy,6,0.0000,-0.0297,-0.0545,-0.0695,-0.0772,26.8,5,0.0000,-0.2028,-0.0142,-0.1210
TT,XLI,Industrials,1,0.0000,-0.2769,-0.2942,-0.1559,-0.3102,2.0,0,0.0000,-0.3810,-0.2942,-0.2942
