rank,ticker,sector,signals,hitRate8W,avgRet4W,avgRet8W,avgRet12W,avgMaxDD,avgAoLag,cleanSigs,cleanHitRate,score,bestRet8W,worstRet8W
1,CEG,XLU,2,100.0,21.61,43.26,51.52,-1.32,9.0,2,100.0,1.9239,79.32,7.20
2,SO,XLU,40,85.0,2.49,6.60,7.48,-1.69,11.8,40,85.0,1.7037,73.28,-6.65
3,SRE,XLU,39,79.5,4.08,4.89,6.33,-3.02,15.6,39,79.5,1.4688,21.13,-8.37
4,DE,XLI,51,74.5,3.50,6.09,8.08,-4.29,11.7,49,77.6,1.4430,37.52,-9.70
5,WEC,XLU,51,80.4,2.18,4.13,4.93,-2.98,12.4,51,80.4,1.4124,20.61,-11.67
6,LMT,XLI,45,66.7,2.27,5.88,6.91,-3.30,13.3,45,66.7,1.3842,29.84,-9.87
7,AEE,XLU,50,78.0,1.81,4.12,4.49,-3.11,14.7,50,78.0,1.3758,15.38,-7.43
8,ED,XLU,55,76.4,2.69,4.00,4.87,-2.44,10.8,55,76.4,1.3694,18.47,-7.37
9,ETN,XLI,45,73.3,3.21,6.37,7.33,-5.87,12.8,42,78.6,1.3628,26.88,-16.39
10,BKR,XLE,17,76.5,4.63,11.26,9.61,-7.74,12.9,15,86.7,1.3228,66.98,-36.53
11,CTAS,XLI,44,65.9,3.35,6.18,5.09,-4.80,12.7,41,68.3,1.2977,44.16,-14.82
12,COST,XLP,43,74.4,2.28,4.39,4.81,-4.15,11.6,39,82.1,1.2942,18.48,-17.82
13,NEE,XLU,48,77.1,2.30,3.82,4.74,-4.21,14.6,46,80.4,1.2879,17.72,-28.07
14,HON,XLI,44,75.0,3.45,4.93,4.64,-5.74,13.0,39,79.5,1.2634,28.44,-25.76
15,DUK,XLU,48,79.2,0.88,3.42,4.22,-4.90,18.4,45,82.2,1.2402,23.61,-29.58
16,PEP,XLP,53,73.6,2.01,3.11,4.55,-2.78,11.5,53,73.6,1.2381,16.72,-14.24
17,APA,XLE,58,75.9,2.23,7.12,7.58,-8.30,23.0,45,88.9,1.2371,96.55,-37.42
18,ETR,XLU,51,74.5,2.83,3.32,3.77,-3.63,18.6,50,76.0,1.2356,23.41,-21.12
19,EMR,XLI,53,66.0,3.52,5.10,6.36,-4.96,13.8,49,71.4,1.2292,34.71,-16.80
20,VLO,XLE,56,73.2,4.45,9.78,9.31,-8.17,16.4,46,80.4,1.2204,67.94,-23.94
21,COP,XLE,52,71.2,0.77,4.86,4.55,-6.42,21.6,47,76.6,1.2092,32.95,-37.90
22,WM,XLI,45,71.1,1.78,3.69,4.83,-4.33,12.5,43,74.4,1.1976,22.78,-15.46
23,MO,XLP,49,69.4,1.27,3.75,7.55,-4.64,15.7,46,73.9,1.1685,32.96,-25.12
24,TT,XLI,45,73.3,0.50,5.05,4.64,-7.73,14.1,37,81.1,1.1675,26.76,-32.94
25,OKE,XLE,40,62.5,3.15,5.48,6.19,-6.54,19.0,35,71.4,1.1575,65.08,-36.44
26,NSC,XLI,50,68.0,1.96,4.91,6.91,-6.94,13.0,43,76.7,1.1507,25.97,-25.58
27,MPC,XLE,26,65.4,4.46,9.79,8.89,-9.02,22.4,21,81.0,1.1443,64.88,-55.61
28,MKC,XLP,40,65.0,0.61,3.81,4.52,-4.12,17.1,39,66.7,1.1438,20.34,-12.32
29,ITW,XLI,45,66.7,2.32,3.87,3.65,-4.64,14.1,43,67.4,1.1377,21.81,-11.63
30,PXD,XLE,40,67.5,1.12,5.29,7.36,-8.15,13.1,30,90.0,1.1310,33.59,-26.27
31,PSX,XLE,30,66.7,3.29,8.98,7.94,-8.06,17.1,23,73.9,1.1218,53.53,-31.24
32,PG,XLP,52,65.4,1.99,3.06,3.17,-3.30,15.3,51,66.7,1.1080,17.00,-16.41
33,AEP,XLU,53,69.8,1.75,3.17,3.01,-5.21,17.3,49,75.5,1.1054,18.63,-20.41
34,MDLZ,XLP,51,68.6,1.91,2.82,3.98,-4.48,15.2,49,71.4,1.0886,23.62,-19.62
35,CL,XLP,62,72.6,1.64,2.28,4.52,-4.28,13.4,59,74.6,1.0863,19.76,-17.02
36,SYY,XLP,60,63.3,2.09,3.70,4.39,-4.42,14.3,57,63.2,1.0809,39.65,-8.96
37,SLB,XLE,61,65.6,1.53,5.23,3.54,-8.66,22.6,50,74.0,1.0772,54.15,-54.24
38,UPS,XLI,61,67.2,1.30,3.43,3.21,-5.01,17.7,56,67.9,1.0734,27.69,-20.74
39,EOG,XLE,51,56.9,2.76,6.14,6.34,-7.70,16.2,41,68.3,1.0731,42.50,-37.67
40,PM,XLP,39,61.5,2.42,3.17,5.53,-3.83,13.5,39,61.5,1.0573,23.12,-10.02
41,PH,XLI,48,58.3,1.28,4.73,6.25,-7.01,13.0,42,66.7,1.0376,56.28,-19.42
42,CLX,XLP,56,62.5,1.95,2.83,4.62,-4.04,16.6,55,63.6,1.0295,21.44,-12.97
43,K,XLP,61,63.9,0.70,2.63,3.15,-4.27,15.7,61,63.9,1.0268,18.56,-9.14
44,MMM,XLI,52,65.4,1.85,3.18,4.51,-5.60,19.8,44,75.0,1.0199,25.19,-26.77
45,STZ,XLP,44,61.4,1.61,3.55,5.47,-5.84,18.1,39,69.2,1.0122,54.69,-23.45
46,CAT,XLI,49,53.1,3.07,5.35,6.41,-7.18,17.0,43,58.1,1.0104,62.46,-10.20
47,XEL,XLU,44,72.7,0.77,1.76,3.07,-5.21,14.0,40,77.5,1.0091,15.10,-53.78
48,WMT,XLP,58,65.5,1.00,2.52,3.00,-4.68,13.3,53,69.8,1.0025,15.22,-16.14
49,CVX,XLE,63,65.1,0.55,3.03,2.51,-6.65,19.1,57,71.9,0.9961,27.92,-31.36
50,MRO,XLE,43,62.8,0.95,4.99,4.70,-9.76,20.2,33,75.8,0.9953,61.68,-32.87
51,OXY,XLE,54,61.1,1.36,3.26,3.80,-6.43,23.6,50,66.0,0.9775,44.29,-41.76
52,FE,XLU,47,70.2,1.58,1.97,1.12,-6.06,20.8,41,78.0,0.9717,17.63,-32.98
53,XOM,XLE,50,62.0,0.45,2.54,2.40,-4.97,16.9,48,64.6,0.9705,22.81,-15.27
54,KMI,XLE,33,66.7,0.34,3.30,1.31,-8.02,17.2,29,69.0,0.9674,26.42,-18.09
55,RTX,XLI,40,67.5,0.53,2.68,3.42,-7.77,17.7,32,81.3,0.9458,27.49,-16.08
56,NI,XLU,43,60.5,2.25,2.72,2.10,-5.62,19.7,38,68.4,0.9400,29.29,-21.43
57,D,XLU,48,64.6,1.61,1.87,2.10,-5.24,15.2,43,72.1,0.9304,22.63,-20.40
58,PPL,XLU,51,64.7,1.53,1.83,1.84,-5.22,14.9,46,71.7,0.9297,28.34,-31.60
59,HES,XLE,51,64.7,-1.13,3.70,3.96,-11.02,19.8,39,84.6,0.9254,42.91,-44.42
60,CMS,XLU,48,68.8,0.66,2.55,3.08,-8.15,20.1,39,76.9,0.9221,34.45,-57.59
61,LNT,XLU,56,69.6,1.05,1.16,1.60,-5.90,16.5,49,77.6,0.9071,11.80,-32.19
62,EL,XLP,58,63.8,1.63,3.13,4.15,-8.66,17.0,46,73.9,0.9020,28.16,-22.99
63,EXC,XLU,55,63.6,1.17,1.72,2.81,-6.07,20.4,50,68.0,0.8790,17.17,-28.20
64,GE,XLI,52,53.8,2.96,4.39,2.75,-9.46,22.8,37,70.3,0.8608,51.04,-26.78
65,PCG,XLU,42,61.9,2.75,2.75,8.07,-9.35,17.9,34,73.5,0.8558,63.12,-45.41
66,HSY,XLP,53,60.4,2.14,1.08,1.53,-4.94,15.6,50,64.0,0.8253,19.37,-18.16
67,HAL,XLE,49,53.1,1.99,4.68,4.29,-11.55,25.6,30,80.0,0.8216,58.73,-37.18
68,FDX,XLI,56,58.9,1.09,2.20,1.89,-7.76,18.5,46,69.6,0.8188,26.86,-29.48
69,BA,XLI,52,57.7,2.21,3.18,2.27,-10.85,22.8,41,70.7,0.8123,35.29,-30.68
70,CNP,XLU,52,57.7,2.29,2.35,0.80,-8.09,18.1,47,59.6,0.8076,33.46,-36.58
71,KO,XLP,45,57.8,0.10,1.36,1.73,-4.96,17.5,41,61.0,0.8017,14.28,-24.90
72,GIS,XLP,55,56.4,0.72,1.22,2.29,-4.98,18.5,52,59.6,0.7871,20.02,-21.21
73,UNP,XLI,47,53.2,0.62,1.94,2.40,-6.10,16.8,44,56.8,0.7858,23.28,-29.28
74,DVN,XLE,56,55.4,1.59,2.59,3.14,-9.76,20.8,43,69.8,0.7660,69.99,-36.03
75,TSN,XLP,54,57.4,1.22,1.65,3.24,-9.04,20.1,42,69.0,0.7265,39.20,-34.07
76,HRL,XLP,53,54.7,-0.36,0.27,1.29,-5.53,19.9,49,59.2,0.6768,14.81,-16.85
77,FANG,XLE,30,46.7,-1.71,1.40,-0.51,-13.20,21.7,18,72.2,0.5424,55.57,-58.49
78,WMB,XLE,52,59.6,-1.85,-1.13,-1.09,-15.33,17.5,36,80.6,0.4911,49.67,-64.52
79,KHC,XLP,29,44.8,0.38,-0.40,-0.30,-8.10,28.8,26,50.0,0.4719,23.56,-28.74
