ticker,date,sector,ret4W,ret8W,ret12W,maxDD,aoLag,aoBottomDepth,aoRecovery,macroFilter,clean
K,2019-07-05,XLP,0.1368,0.1363,0.1598,-0.0219,4,16,6.146969,bull,true
TSN,2003-04-17,XLP,0.0190,0.2045,0.3170,0.0000,10,2,0.429118,bull,true
TSN,2008-02-08,XLP,0.1588,0.2329,0.3047,-0.0037,8,10,0.984078,bear,true
TSN,2010-11-19,XLP,0.1012,0.0903,0.1851,0.0000,5,4,0.163551,bull,true
TSN,2011-10-14,XLP,0.0518,0.1090,0.0976,0.0000,3,6,0.294265,bear,true
TSN,2017-04-13,XLP,-0.0824,-0.0391,-0.0475,-0.0844,17,16,4.783133,bull,true
TSN,2018-06-15,XLP,-0.0767,-0.1620,-0.1147,-0.1958,36,2,1.138750,bull,false
TSN,2018-09-07,XLP,-0.0272,-0.0270,-0.0622,-0.0591,24,3,1.665559,bull,true
TSN,2025-08-15,XLP,-0.0209,-0.0747,-0.0644,-0.0747,17,9,0.734826,bull,true
HRL,2004-11-05,XLP,0.0584,0.0773,0.0570,0.0000,3,2,0.473176,bull,true
HRL,2007-11-30,XLP,0.0380,-0.0567,0.0335,-0.0567,1,14,2.611618,bull,true
HRL,2017-06-16,XLP,-0.0280,0.0070,-0.0644,-0.0280,25,9,0.474593,bull,true
HRL,2017-11-17,XLP,0.1108,0.0489,-0.0040,0.0000,3,7,0.820121,bull,true
HRL,2021-03-26,XLP,-0.0266,0.0370,-0.0050,-0.0306,10,9,1.966529,bull,true
HRL,2024-03-01,XLP,0.0455,0.0672,0.0609,0.0000,4,15,2.034009,bull,true
HRL,2024-12-06,XLP,-0.0342,-0.0678,-0.1098,-0.0745,3,2,0.457159,bull,true
MKC,2007-07-06,XLP,-0.0692,-0.0427,-0.0393,-0.0694,22,5,0.107706,bull,true
MKC,2007-10-05,XLP,-0.0304,0.0766,0.0827,-0.0304,9,7,0.258853,bull,true
MKC,2007-11-23,XLP,0.0269,-0.0448,-0.0650,-0.0448,2,2,0.669559,bear,true
MKC,2009-03-20,XLP,-0.0980,-0.0325,-0.0076,-0.1023,12,14,3.777309,bear,true
MKC,2009-05-08,XLP,-0.0016,0.0858,0.0506,-0.0120,5,16,1.949188,bear,true
MKC,2011-10-21,XLP,-0.0329,-0.0211,0.0344,-0.0476,3,6,0.740714,bear,true
MKC,2023-03-31,XLP,0.0606,0.0495,0.1323,0.0000,3,1,0.822782,bull,true
CLX,2002-11-08,XLP,-0.0247,-0.0860,-0.1589,-0.0974,1,13,4.577235,bear,true
CLX,2008-05-16,XLP,-0.1000,-0.1174,0.0022,-0.1247,14,2,0.385029,bull,true
CLX,2009-06-19,XLP,0.0360,0.0373,0.0370,-0.0029,1,13,6.731765,bull,true
CLX,2013-10-25,XLP,0.0655,0.0571,0.0231,0.0000,1,2,0.777324,bull,true
CLX,2019-12-13,XLP,0.0130,0.1032,0.1499,0.0000,6,2,1.037881,bull,true
CLX,2021-01-29,XLP,-0.1356,-0.0917,-0.0947,-0.1356,49,1,2.435786,bull,true
CLX,2021-07-02,XLP,0.0153,-0.0746,-0.0763,-0.0874,27,16,8.201225,bull,true
CLX,2022-04-14,XLP,0.0959,-0.0923,-0.0212,-0.0923,21,2,2.866721,bear,true
CLX,2025-09-05,XLP,-0.0302,-0.1054,-0.1414,-0.1054,24,9,8.980880,bull,true
XOM,2000-08-11,XLE,0.0261,0.0990,0.0752,0.0000,1,2,0.868294,bull,true
XOM,2008-04-11,XLE,0.0068,-0.0162,0.0005,-0.0162,2,7,2.082441,bear,true
XOM,2015-02-13,XLE,-0.1017,-0.0836,-0.0469,-0.1049,39,15,0.805142,bull,true
XOM,2016-02-12,XLE,0.0143,0.0269,0.0923,0.0000,2,16,2.850478,bear,true
XOM,2016-12-09,XLE,-0.0056,-0.0613,-0.0650,-0.0613,2,2,0.823021,bull,true
XOM,2017-06-16,XLE,-0.0265,-0.0541,-0.0467,-0.0541,17,14,1.753774,bull,true
XOM,2017-09-22,XLE,0.0399,0.0133,0.0486,0.0000,3,2,0.947735,bull,true
XOM,2018-04-20,XLE,0.0395,0.0313,0.0652,-0.0266,7,2,1.029691,bull,true
CVX,2001-12-28,XLE,-0.0208,-0.0667,-0.0063,-0.0950,13,2,1.369029,bear,true
CVX,2003-02-28,XLE,0.0168,-0.0120,0.0775,-0.0120,13,13,4.247882,bear,true
CVX,2009-01-30,XLE,-0.1311,-0.0139,-0.0468,-0.1660,29,12,11.691618,bear,false
CVX,2015-02-20,XLE,-0.0145,0.0047,0.0046,-0.0643,52,2,2.588326,bull,true
CVX,2015-04-10,XLE,0.0163,-0.0403,-0.0944,-0.0403,48,9,5.123084,bull,true
CVX,2015-12-18,XLE,-0.0684,-0.0488,0.0664,-0.0855,12,13,18.970429,bear,true
CVX,2017-08-04,XLE,-0.0023,0.0779,0.0416,-0.0232,4,2,1.297309,bull,true
CVX,2020-01-03,XLE,-0.1146,-0.2196,-0.4250,-0.2196,49,9,3.986353,bull,false
CVX,2020-11-13,XLE,0.1300,0.1132,0.0910,0.0000,4,2,1.318647,bull,true
CVX,2024-02-16,XLE,0.0059,0.0280,0.0724,-0.0307,7,11,7.873420,bull,true
CVX,2024-10-11,XLE,0.0364,0.0356,-0.0137,-0.0044,6,2,1.986638,bull,true
COP,2003-02-07,XLE,0.0690,0.0897,0.0754,0.0000,4,15,5.620294,bear,true
COP,2011-10-21,XLE,-0.0356,-0.0478,-0.0207,-0.0792,10,2,1.685529,bear,true
COP,2015-02-13,XLE,-0.1179,-0.0479,-0.0388,-0.1179,52,1,1.041040,bull,true
COP,2017-08-11,XLE,-0.0071,0.0909,0.1887,-0.0375,7,2,0.720044,bull,true
COP,2019-07-05,XLE,-0.0525,-0.1245,-0.0285,-0.1540,22,2,0.832029,bull,false
COP,2019-11-08,XLE,0.0475,0.1105,0.0046,-0.0154,4,9,6.406265,bull,true
COP,2020-10-16,XLE,0.0471,0.2875,0.3237,-0.1525,8,10,2.411744,bull,false
COP,2020-11-27,XLE,-0.0769,-0.0021,0.1423,-0.0769,2,16,3.574600,bull,true
COP,2024-10-18,XLE,0.0704,-0.0373,-0.0287,-0.0373,45,2,1.564639,bull,true
EOG,2002-10-04,XLE,0.0778,0.1099,0.1488,-0.0283,8,7,0.981029,bear,true
EOG,2006-10-20,XLE,0.0309,0.0358,-0.0590,0.0000,4,16,4.678354,bull,true
EOG,2014-08-29,XLE,-0.0728,-0.1602,-0.0723,-0.1825,34,16,36.330500,bull,false
EOG,2015-04-02,XLE,0.0686,-0.0417,-0.0485,-0.0417,3,14,6.532221,bull,true
EOG,2019-03-22,XLE,0.1112,-0.0049,-0.0889,-0.0276,42,9,7.559412,bull,true
EOG,2019-07-05,XLE,-0.0659,-0.1596,-0.1506,-0.1872,27,16,6.486560,bull,false
SLB,2001-01-05,XLE,0.0033,-0.1454,-0.2472,-0.2159,2,2,3.268235,bear,false
SLB,2010-10-01,XLE,0.1195,0.2170,0.3254,0.0000,3,13,3.728734,bull,true
SLB,2015-02-06,XLE,-0.0298,-0.0148,0.0857,-0.0612,12,1,0.422441,bull,true
SLB,2017-09-15,XLE,-0.0010,-0.0223,-0.0476,-0.0608,17,9,2.696769,bull,true
SLB,2024-03-15,XLE,-0.0165,-0.0827,-0.1520,-0.0985,52,2,0.981656,bull,true
MPC,2015-10-02,XLE,0.0705,0.2176,0.0943,0.0000,45,11,5.402460,bear,true
MPC,2019-04-12,XLE,-0.1370,-0.2292,-0.0999,-0.2456,26,14,6.656858,bull,false
PSX,2017-06-23,XLE,0.0321,0.0246,0.1014,0.0000,3,9,1.093628,bull,true
VLO,2006-03-17,XLE,0.1113,0.0788,0.0266,0.0000,18,8,4.760206,bull,true
