ticker,sector,tier,signalLevel,signalQuality,signalDate,weeksActive,ao,ac,acColor,hrHistorical,avgRetHistorical,maxDdHistorical,aoLagHistorical,nearLows,ranging,pricePercentile
MOS,XLB,2,S2D,degraded,2026-06-05,0,-3.2176,0.0893,green,,,,,true,false,5
HSY,XLP,2,S2D,degraded,2026-06-05,0,-6.1160,0.1688,green,,,,,false,false,46
NTRA,IBB,2,S2D,degraded,2026-06-05,0,-5.9544,0.3987,green,,,,,false,false,80
CLX,XLP,2,S1,n/a,2026-06-05,0,-13.9954,-0.3212,green,,,,,true,false,10
MDT,XLV,2,S1,n/a,2026-06-05,0,-15.0351,-1.6648,green,,,,,true,false,27
ABT,XLV,2,S1,n/a,2026-06-05,0,-24.9516,-0.3030,green,,,,,true,false,13
SYK,XLV,2,S1,n/a,2026-06-05,0,-46.3477,-5.4936,green,,,,,true,false,18
RPM,XLB,2,S1,n/a,2026-06-05,0,-5.2903,-0.2757,green,,,,,true,false,29
HD,XLY,2,S1,n/a,2026-06-05,0,-40.8443,-4.6352,green,,,,,true,false,13
CHTR,XLC,2,S1,n/a,2026-06-05,0,-58.5447,-15.9811,green,,,,,true,false,0
INSM,IBB,2,S1,n/a,2026-06-05,0,-48.3714,-12.2580,green,,,,,true,false,21
PCVX,XBI,2,S1,n/a,2026-06-05,0,-0.3473,-4.8197,green,,,,,true,false,20
LMT,XLI,1,S1,n/a,2026-06-05,0,-29.3788,-9.5253,green,66.7,5.2,-3.8,10.5,false,false,45
NRG,XLU,2,S1,n/a,2026-06-05,0,-20.5358,-7.9267,green,,,,,false,false,55
EMR,XLI,2,S1,n/a,2026-06-05,0,-0.5172,-1.8647,green,,,,,false,false,72
NOC,XLI,2,S1,n/a,2026-06-05,0,-72.9794,-21.1471,green,,,,,false,false,38
PH,XLI,2,S1,n/a,2026-06-05,0,-35.6416,-45.7453,green,,,,,false,false,74
RTX,XLI,2,S1,n/a,2026-06-05,0,-10.9848,-1.0632,green,,,,,false,false,75
UPS,XLI,2,S1,n/a,2026-06-05,0,-0.5122,-1.8824,green,,,,,false,false,60
MLM,XLB,2,S1,n/a,2026-06-05,0,-45.9610,-16.4787,green,,,,,false,false,51
APH,XLK,2,S1,n/a,2026-06-05,0,-3.0420,-4.2670,green,,,,,false,false,84
SMMT,XBI,2,S1,n/a,2026-06-05,0,-0.8525,-1.7443,green,,,,,false,false,30
PG,XLP,1,none,n/a,,0,-3.9321,-0.8087,red,65.4,3.1,-3.2,13.8,true,true,21
AWK,XLU,2,none,n/a,,0,-6.5142,-2.3870,green,,,,,true,true,29
CTAS,XLI,2,none,n/a,,0,-13.9505,0.1221,green,,,,,true,true,24
GIS,XLP,2,none,n/a,,0,-8.1667,0.2684,red,,,,,true,true,0
KHC,XLP,2,none,n/a,,0,-0.2732,0.6058,red,,,,,true,true,12
KMB,XLP,2,none,n/a,,0,-4.5652,1.3718,red,,,,,true,true,10
ICE,XLF,2,none,n/a,,0,-6.9075,-3.4796,red,,,,,true,true,16
BSX,XLV,2,none,n/a,,0,-26.6920,-1.1509,red,,,,,true,false,0
ZTS,XLV,2,none,n/a,,0,-36.2697,-11.9565,red,,,,,true,false,5
ISRG,XLV,2,none,n/a,,0,-70.5180,-15.9672,red,,,,,true,true,1
SHW,XLB,2,none,n/a,,0,-26.1324,-9.4122,red,,,,,true,true,15
NKE,XLY,2,none,n/a,,0,-13.3728,1.4248,green,,,,,true,false,3
LOW,XLY,2,none,n/a,,0,-26.4839,-10.1156,red,,,,,true,false,6
AZO,XLY,2,none,n/a,,0,-293.6258,-103.8687,red,,,,,true,false,20
LEN,XLY,2,none,n/a,,0,-18.9732,1.0252,green,,,,,true,true,9
CRM,XLK,2,none,n/a,,0,-31.5274,6.4248,green,,,,,true,false,11
CMCSA,XLC,2,none,n/a,,0,-3.2555,-1.1142,red,,,,,true,false,5
OMC,XLC,2,none,n/a,,0,-1.9970,-0.6282,green,,,,,true,true,25
NFLX,XLC,2,none,n/a,,0,-159.6661,61.4099,green,,,,,true,false,29
TMUS,XLC,2,none,n/a,,0,-13.7480,-0.1059,red,,,,,true,false,9
TTD,XLC,2,none,n/a,,0,-10.0849,1.1765,red,,,,,true,false,0
REGN,IBB,2,none,n/a,,0,-63.0407,-44.3027,red,,,,,true,false,21
MRNA,IBB,2,none,n/a,,0,8.7357,-2.1699,green,,,,,true,false,21
SO,XLU,1,none,n/a,,0,0.9386,-0.4965,red,85,6.6,-1.7,11.8,false,true,81
